State,City,Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),CO (mg/m3),SO2 (ug/m3),O3 (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Xylene (ug/m3),AQI,AQI_Bucket,Wind_Speed (km/h),Humidity (%),Deforestation_Rate_%,Industry_Growth_%,CO2_Emission_MT,Population_Density_per_SqKm
Jakarta (DKI),Jakarta Pusat,2014-01-01,16.69,32.21,16.1,41.82,57.92,11.71,1.62,2.26,30.86,1.15,3.09,3.26,80,Satisfactory,0.5,91.88,0.23407,3.66,15.06,13767.26
Jakarta (DKI),Jakarta Utara,2014-01-01,14.8,29.03,7.54,13.13,20.67,6.66,0.69,4.16,44.91,1.11,4.2,1.94,71,Satisfactory,13.02,78.41,0.35091,2.1,8.22,1356.01
Jakarta (DKI),Jakarta Barat,2014-01-01,30.98,38.11,14.05,26.96,41.01,6.9,1.69,1.99,36.77,1.37,3.13,1.9,97,Satisfactory,12.96,87.36,0.36579,4.53,17.84,11492.38
Jakarta (DKI),Jakarta Selatan,2014-01-01,42.08,38.94,6.43,21.38,27.81,9.61,1.43,4.78,49.06,0.8,2.61,1.82,130,Moderate,13.0,91.4,0.04003,2.28,13.37,13474.9
Jakarta (DKI),Jakarta Timur,2014-01-01,35.32,27.94,25.57,43.69,69.26,9.66,1.07,4.47,39.79,1.43,5.5,2.32,96,Satisfactory,10.6,84.94,0.15864,4.2,15.14,13397.08
Jakarta (DKI),Kepulauan Seribu,2014-01-01,22.07,40.73,5.63,16.08,21.71,7.27,0.88,6.18,44.08,1.75,6.94,3.0,77,Satisfactory,19.14,90.56,0.20751,4.8,6.65,1391.87
West Java,Bandung,2014-01-01,29.72,14.73,6.92,20.67,27.59,11.73,1.72,2.92,49.86,1.05,4.01,2.05,61,Satisfactory,1.27,88.41,0.13181,4.4,17.25,16488.42
West Java,Bekasi,2014-01-01,25.73,24.68,11.66,25.48,37.14,21.47,1.55,0.1,47.38,1.41,5.05,3.3,76,Satisfactory,2.82,92.27,0.35547,3.53,11.28,20683.32
West Java,Bogor,2014-01-01,16.31,35.72,5.31,16.03,21.34,23.28,0.96,3.71,26.95,1.39,3.01,1.4,62,Satisfactory,4.33,67.16,0.2132,3.25,7.24,1309.97
West Java,Depok,2014-01-01,35.32,34.52,24.67,43.69,68.36,8.88,1.23,4.53,60.73,1.2,3.89,3.05,60,Satisfactory,11.14,83.59,0.15158,3.08,17.46,15687.0
West Java,Cimahi,2014-01-01,16.52,25.19,8.79,16.94,25.73,8.53,0.87,6.82,31.73,1.07,4.01,3.08,84,Satisfactory,0.74,75.9,0.14998,5.17,12.48,1063.64
West Java,Cirebon,2014-01-01,22.66,14.71,6.85,13.97,20.82,4.89,0.82,7.43,18.63,0.54,2.02,0.64,55,Satisfactory,11.03,89.81,0.21505,4.01,14.62,1060.75
West Java,Sukabumi,2014-01-01,17.34,32.04,6.98,14.98,21.96,16.63,0.64,0.89,16.34,1.17,4.09,3.43,54,Satisfactory,6.96,86.08,0.30177,4.13,14.22,848.33
West Java,Tasikmalaya,2014-01-01,15.83,44.31,10.92,18.39,29.32,9.8,0.72,4.18,16.64,1.16,3.79,1.5,94,Satisfactory,0.5,87.3,0.22279,4.61,13.48,213.71
West Java,Banjar,2014-01-01,19.94,35.99,5.39,12.93,18.32,17.54,0.79,4.94,31.55,2.09,6.47,5.33,56,Satisfactory,18.39,80.6,0.01027,5.12,13.14,300.91
West Java,Cianjur,2014-01-01,10.3,27.0,4.64,14.55,19.19,20.54,0.76,4.18,44.63,1.0,2.78,2.55,22,Good,4.56,82.88,0.1339,4.54,13.78,406.63
West Java,Garut,2014-01-01,27.51,17.67,6.72,16.06,22.78,17.21,0.9,4.12,23.44,1.21,2.52,2.52,52,Satisfactory,7.4,97.49,0.30527,4.79,5.36,1121.2
West Java,Indramayu,2014-01-01,22.6,51.35,4.24,11.22,15.46,9.9,0.67,6.65,48.06,1.18,4.53,2.52,99,Satisfactory,0.89,84.66,0.14205,5.08,9.74,934.39
West Java,Karawang,2014-01-01,32.07,38.52,10.53,27.22,37.74,15.64,0.97,21.62,27.66,1.8,6.08,4.9,72,Satisfactory,7.49,98.61,0.1982,2.48,22.34,3421.83
West Java,Purwakarta,2014-01-01,24.32,30.08,2.82,7.06,9.87,26.95,0.7,1.9,43.99,1.55,5.0,2.64,86,Satisfactory,4.38,96.41,0.13911,4.27,11.82,1034.59
West Java,Subang,2014-01-01,20.42,26.43,6.3,18.84,25.15,14.17,0.64,5.06,31.52,1.01,2.84,1.85,69,Satisfactory,5.46,87.63,0.23629,5.72,9.84,1279.32
West Java,Sumedang,2014-01-01,22.98,30.46,4.93,9.96,14.89,12.95,0.63,3.17,42.06,1.4,5.23,1.71,57,Satisfactory,12.67,80.83,0.18017,3.39,12.02,551.77
East Java,Surabaya,2014-01-01,30.76,32.75,15.58,33.16,48.74,15.75,1.73,2.74,42.95,1.33,3.96,3.25,63,Satisfactory,12.39,83.18,0.22616,2.33,3.52,14419.6
East Java,Malang,2014-01-01,26.72,32.8,4.16,10.6,14.76,3.35,0.83,1.53,42.49,1.73,4.03,2.05,70,Satisfactory,9.36,90.29,0.32514,5.19,8.77,1088.11
East Java,Batu,2014-01-01,17.54,47.61,6.81,15.63,22.45,24.16,1.25,1.35,24.53,1.44,5.37,3.72,89,Satisfactory,10.61,95.57,0.30133,3.59,9.64,1521.02
East Java,Madiun,2014-01-01,17.42,35.13,7.07,12.94,20.0,15.39,1.25,1.4,27.72,1.55,4.36,3.16,73,Satisfactory,6.03,91.45,0.37012,3.95,7.03,1211.67
East Java,Mojokerto,2014-01-01,14.95,39.35,4.19,8.59,12.78,16.8,0.55,4.29,41.81,1.88,5.17,4.8,92,Satisfactory,7.98,73.13,0.11943,3.56,5.59,532.59
East Java,Pasuruan,2014-01-01,19.7,36.79,8.55,22.43,30.98,9.66,0.92,4.21,42.51,1.64,5.07,1.64,68,Satisfactory,11.08,75.28,0.21174,3.97,4.31,1018.42
East Java,Probolinggo,2014-01-01,19.67,34.14,6.74,15.3,22.04,18.58,0.56,2.66,33.13,1.55,5.35,4.18,87,Satisfactory,7.57,84.8,0.18199,3.4,16.43,941.82
East Java,Kediri,2014-01-01,14.62,33.24,5.85,11.79,17.64,17.33,0.9,2.25,33.83,0.77,2.93,1.87,76,Satisfactory,7.89,100.0,0.30941,4.67,14.41,1178.77
East Java,Blitar,2014-01-01,15.98,36.45,6.0,10.82,16.82,10.53,0.77,2.8,30.01,0.71,1.67,1.91,70,Satisfactory,11.67,78.8,0.27356,3.45,2.81,491.34
East Java,Banyuwangi,2014-01-01,17.0,44.81,7.9,14.12,22.02,12.45,1.18,5.34,39.79,1.51,4.85,3.28,88,Satisfactory,0.5,75.41,0.11394,5.41,9.76,582.68
