State,City,Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),CO (mg/m3),SO2 (ug/m3),O3 (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Xylene (ug/m3),AQI,AQI_Bucket,Wind_Speed (km/h),Humidity (%),Deforestation_Rate_%,Industry_Growth_%,CO2_Emission_MT,Population_Density_per_SqKm
Riyadh Province,Riyadh,2014-01-01,22.1,54.55,14.72,41.51,56.24,2.34,1.1,6.74,54.87,1.17,2.44,1.95,85,Satisfactory,13.09,13.63,9e-05,1.61,28.1,4667.58
Riyadh Province,Al Kharj,2014-01-01,24.02,90.85,7.28,15.01,22.29,1.25,0.73,7.34,30.9,0.37,1.22,0.97,56,Satisfactory,10.51,35.7,0.00013,1.13,16.83,156.93
Riyadh Province,Ad Dawadimi,2014-01-01,33.75,96.02,8.18,19.34,27.52,2.47,0.66,5.81,47.71,0.38,1.38,0.63,55,Satisfactory,10.61,31.51,6e-05,1.73,17.12,305.55
Riyadh Province,Majmaah,2014-01-01,34.62,75.43,12.3,23.85,36.15,3.23,0.69,8.02,39.05,1.34,3.87,1.72,75,Satisfactory,14.81,25.81,0.0001,1.03,16.82,398.37
Riyadh Province,Wadi ad-Dawasir,2014-01-01,20.43,52.26,9.32,15.96,25.28,1.86,0.76,5.55,52.41,0.92,3.41,1.61,93,Satisfactory,14.12,19.18,0.00011,0.84,15.73,292.13
Riyadh Province,Afif,2014-01-01,18.81,62.89,9.1,19.19,28.3,2.8,0.68,7.95,61.38,1.16,4.36,3.24,81,Satisfactory,11.34,16.45,0.0001,1.06,18.79,573.48
Riyadh Province,Zulfi,2014-01-01,30.21,92.23,6.29,15.98,22.27,2.37,0.67,7.24,33.96,2.57,7.93,5.77,74,Satisfactory,12.5,13.77,0.00014,1.21,26.68,166.81
Riyadh Province,Shaqra,2014-01-01,33.13,85.84,9.43,17.89,27.32,0.0,0.63,6.66,49.78,1.46,4.15,3.57,94,Satisfactory,15.73,10.84,7e-05,0.59,21.56,286.63
Riyadh Province,Al Quwayiyah,2014-01-01,28.08,85.38,16.76,35.45,52.21,2.73,0.76,6.56,9.64,2.22,6.95,6.51,58,Satisfactory,16.15,15.06,9e-05,1.51,14.53,452.98
Riyadh Province,Diriyah,2014-01-01,36.88,98.71,9.34,21.21,30.55,2.53,0.82,5.5,68.94,1.07,4.26,2.85,128,Moderate,13.8,10.0,6e-05,1.38,16.29,335.7
Riyadh Province,Muzahmiyya,2014-01-01,28.86,92.01,5.74,11.47,17.22,2.75,0.71,8.58,56.0,1.61,4.46,3.97,96,Satisfactory,13.14,31.96,0.00016,1.63,13.42,649.39
Riyadh Province,Thadiq,2014-01-01,21.06,96.07,4.64,13.86,18.49,0.58,0.93,5.52,33.12,1.76,4.96,3.18,76,Satisfactory,16.32,11.29,2e-05,0.77,15.83,427.6
Makkah Province,Mecca,2014-01-01,36.18,52.52,12.73,36.68,49.41,1.42,0.84,3.46,62.71,1.13,2.73,2.64,124,Moderate,16.74,15.13,0.00013,1.71,32.2,4510.23
Makkah Province,Jeddah,2014-01-01,32.58,63.41,14.3,37.89,52.18,1.34,0.76,5.44,46.39,1.91,5.7,5.11,85,Satisfactory,17.03,97.31,0.00013,1.22,13.68,3295.26
Makkah Province,Taif,2014-01-01,19.42,93.14,7.87,19.74,27.61,1.9,0.74,4.8,29.65,0.65,2.55,0.85,91,Satisfactory,13.42,13.04,0.00011,1.98,17.24,294.18
Makkah Province,Rabigh,2014-01-01,44.63,61.4,11.44,30.94,42.37,3.35,0.84,41.36,42.99,3.85,11.51,7.52,120,Moderate,26.58,69.63,0.00011,1.44,66.62,1010.97
Makkah Province,Al Qunfudhah,2014-01-01,27.15,93.78,6.99,18.04,25.04,1.63,0.63,4.45,56.11,1.74,4.12,2.3,95,Satisfactory,15.41,50.96,7e-05,1.5,18.53,275.13
Makkah Province,Al Lith,2014-01-01,11.49,66.77,8.91,22.01,30.92,1.86,0.58,4.63,33.83,2.33,4.91,3.78,25,Good,16.18,15.04,9e-05,2.11,20.7,83.55
Makkah Province,Khulais,2014-01-01,38.03,80.73,9.73,20.74,30.47,1.54,0.65,5.48,48.91,1.89,3.95,4.5,137,Moderate,14.76,26.59,0.00016,2.04,19.23,383.27
Makkah Province,Turabah,2014-01-01,15.99,60.72,8.95,20.48,29.42,0.62,0.89,4.98,51.19,2.02,6.67,3.39,68,Satisfactory,18.91,11.98,0.00011,1.88,22.64,312.37
Makkah Province,Ranyah,2014-01-01,23.65,81.6,14.89,25.42,40.31,2.31,0.55,5.3,46.28,1.34,3.89,2.08,55,Satisfactory,9.48,13.75,0.00012,1.11,19.41,269.69
Eastern Province,Dammam,2014-01-01,21.1,81.15,17.06,42.61,59.67,2.37,1.03,4.77,35.49,1.0,2.45,1.77,96,Satisfactory,13.95,54.43,0.0001,0.87,26.18,2625.07
Eastern Province,Al Ahsa,2014-01-01,19.76,37.74,13.12,30.01,43.13,3.35,0.56,6.2,40.36,1.22,4.68,1.51,84,Satisfactory,9.12,14.3,0.00013,0.99,24.18,309.27
Eastern Province,Jubail,2014-01-01,36.63,63.94,10.23,29.94,40.18,1.5,0.69,28.11,31.77,4.09,8.27,6.7,136,Moderate,2.41,73.68,7e-05,1.76,49.48,1332.38
Eastern Province,Dhahran,2014-01-01,31.6,104.15,13.86,42.07,55.93,1.66,0.68,14.15,36.8,2.18,7.3,4.36,69,Satisfactory,12.58,10.0,0.00013,1.89,33.87,1273.78
Eastern Province,Khobar,2014-01-01,17.71,46.06,14.53,29.97,44.49,0.82,0.56,7.93,35.21,0.52,1.19,0.84,72,Satisfactory,15.54,61.43,7e-05,1.47,21.44,157.68
Eastern Province,Hafar Al Batin,2014-01-01,15.19,103.56,7.13,19.78,26.91,2.23,0.74,7.51,53.2,1.17,3.09,1.57,67,Satisfactory,6.45,12.15,0.00017,1.2,16.0,451.97
Eastern Province,Khafji,2014-01-01,36.94,72.11,14.04,29.87,43.91,1.81,0.38,20.85,54.16,3.25,6.59,4.33,112,Moderate,13.76,36.7,6e-05,0.62,55.67,1063.93
Eastern Province,Qatif,2014-01-01,22.78,83.39,10.43,22.06,32.49,1.61,0.43,7.78,51.01,1.8,4.5,3.18,65,Satisfactory,16.85,49.05,8e-05,2.12,18.39,204.08
Eastern Province,Ras Tanura,2014-01-01,23.59,91.1,12.43,30.97,43.4,2.46,0.26,22.22,53.96,4.31,13.81,10.26,63,Satisfactory,18.11,91.18,0.0001,1.81,37.62,787.3
Eastern Province,Abqaiq,2014-01-01,28.77,83.13,27.17,45.39,72.56,3.46,0.7,36.39,40.91,4.95,15.53,5.6,67,Satisfactory,15.72,23.06,0.00011,1.68,48.55,1008.09
Eastern Province,Safwa,2014-01-01,25.46,54.38,6.27,14.98,21.25,2.16,0.5,5.81,31.94,1.09,4.25,2.11,59,Satisfactory,13.69,16.17,0.00013,1.52,21.36,280.55
Eastern Province,Nariyah,2014-01-01,25.72,89.43,8.16,22.04,30.19,1.85,0.67,9.14,43.97,0.87,2.26,1.13,65,Satisfactory,10.96,24.9,1e-05,0.85,23.6,638.47
Eastern Province,Buqayq,2014-01-01,24.26,94.78,7.87,19.02,26.89,0.7,0.64,7.21,55.33,2.03,5.51,5.21,92,Satisfactory,9.37,10.0,0.00018,1.39,21.46,401.2
Madinah Province,Medina,2014-01-01,43.04,66.57,8.46,17.62,26.08,2.95,0.85,4.09,56.22,1.79,6.58,4.81,141,Moderate,6.48,12.37,0.00014,1.83,25.16,4424.63
Madinah Province,Yanbu,2014-01-01,15.6,66.43,6.95,15.03,21.97,0.07,0.51,24.49,34.44,4.33,14.33,7.92,86,Satisfactory,22.47,67.63,0.00014,1.36,40.17,1232.95
Madinah Province,Al Ula,2014-01-01,31.28,62.06,8.83,24.05,32.88,2.09,0.67,6.43,50.32,2.16,5.37,6.46,81,Satisfactory,14.58,18.28,0.00011,0.7,28.16,238.75
Madinah Province,Bader,2014-01-01,29.88,91.21,8.36,22.84,31.2,1.5,0.7,6.56,52.21,1.82,6.76,2.88,93,Satisfactory,10.39,25.82,0.00018,1.37,26.07,399.64
Madinah Province,Mahd Al Thahab,2014-01-01,27.28,94.16,15.43,26.98,42.41,2.8,0.44,5.79,57.56,1.71,3.95,5.11,53,Satisfactory,10.41,23.83,0.00013,1.73,18.88,526.7
Madinah Province,Hanakiyah,2014-01-01,7.9,63.44,13.37,25.05,38.43,2.46,0.52,3.52,48.17,1.87,5.63,2.79,31,Good,7.07,35.84,9e-05,0.86,17.67,510.11
