State,City,Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),CO (mg/m3),SO2 (ug/m3),O3 (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Xylene (ug/m3),AQI,AQI_Bucket,Wind_Speed (km/h),Humidity (%),Deforestation_Rate_%,Industry_Growth_%,CO2_Emission_MT,Population_Density_per_SqKm
Île-de-France,Paris,2014-01-01,19.92,32.65,14.76,31.26,46.01,6.61,0.62,2.49,39.99,1.09,3.25,2.17,59,Satisfactory,19.91,65.93,0.0129,0.43,9.36,7196.85
Île-de-France,Boulogne-Billancourt,2014-01-01,14.22,32.81,11.29,28.04,39.33,7.66,0.64,3.43,38.68,0.8,2.63,1.45,69,Satisfactory,12.45,66.62,0.0075,1.32,4.67,961.1
Île-de-France,Saint-Denis,2014-01-01,20.26,31.09,15.23,27.37,42.61,5.37,0.51,0.62,63.06,0.23,0.69,0.39,57,Satisfactory,15.03,79.92,0.0124,1.38,6.05,727.84
Île-de-France,Argenteuil,2014-01-01,8.48,22.25,2.73,7.17,9.9,10.85,0.36,2.37,51.64,0.82,2.83,1.67,40,Good,21.31,79.47,0.0085,1.37,6.09,960.6
Île-de-France,Montreuil,2014-01-01,14.98,22.43,10.91,22.85,33.75,9.46,0.46,4.88,14.7,1.32,4.64,2.84,75,Satisfactory,12.42,59.77,0.0033,-0.2,4.08,1393.18
Île-de-France,Nanterre,2014-01-01,19.53,29.98,11.68,20.7,32.38,13.78,0.7,1.55,47.96,0.66,1.4,1.27,74,Satisfactory,12.4,83.66,0.0205,1.44,5.58,1044.57
Île-de-France,Vitry-sur-Seine,2014-01-01,14.17,33.4,9.72,23.12,32.84,6.16,0.6,4.25,46.22,1.27,3.74,3.18,57,Satisfactory,16.69,66.61,0.0066,2.02,5.23,480.39
Île-de-France,Créteil,2014-01-01,20.89,24.07,12.51,24.14,36.65,8.86,0.47,2.44,35.76,0.42,1.48,0.8,89,Satisfactory,10.84,62.41,0.0109,0.68,4.96,1362.87
Île-de-France,Asnières-sur-Seine,2014-01-01,18.34,27.39,10.29,22.57,32.86,9.88,0.56,2.84,46.46,1.24,4.01,2.01,68,Satisfactory,19.55,64.48,0.0091,1.48,4.37,656.27
Île-de-France,Colombes,2014-01-01,18.65,22.69,8.67,18.04,26.71,7.25,0.82,4.16,32.32,0.47,1.21,1.15,88,Satisfactory,13.88,67.68,0.0173,1.88,7.4,1018.19
Auvergne-Rhône-Alpes,Lyon,2014-01-01,30.76,37.28,18.63,58.81,77.45,10.12,0.53,2.87,41.14,1.28,3.33,1.51,95,Satisfactory,14.6,52.91,0.0088,0.99,12.27,7116.47
Auvergne-Rhône-Alpes,Saint-Étienne,2014-01-01,14.24,28.73,8.83,22.57,31.4,4.73,0.49,8.19,52.41,1.36,5.37,3.85,71,Satisfactory,19.26,70.01,0.0074,1.36,18.77,3084.44
Auvergne-Rhône-Alpes,Grenoble,2014-01-01,14.88,14.34,11.93,30.02,41.95,2.2,0.54,2.59,41.84,0.68,1.59,1.59,76,Satisfactory,4.85,79.37,0.0094,0.98,4.14,597.38
Auvergne-Rhône-Alpes,Villeurbanne,2014-01-01,12.04,25.52,0.55,1.82,2.36,5.59,0.63,2.87,23.7,1.3,3.21,2.68,96,Satisfactory,7.34,60.18,0.0137,1.09,4.97,655.26
Auvergne-Rhône-Alpes,Clermont-Ferrand,2014-01-01,18.69,21.36,13.02,27.2,40.22,5.9,0.55,1.52,32.06,0.99,3.05,1.85,58,Satisfactory,10.1,48.33,0.0151,0.94,3.84,826.6
Auvergne-Rhône-Alpes,Annecy,2014-01-01,13.81,24.45,14.51,35.76,50.27,4.99,0.5,3.09,38.47,0.83,2.64,2.14,86,Satisfactory,10.41,67.28,0.003,0.82,6.03,1146.95
Auvergne-Rhône-Alpes,Vénissieux,2014-01-01,11.68,30.6,10.14,30.57,40.71,2.38,0.39,2.24,46.81,0.87,2.51,2.39,18,Good,6.24,72.73,0.0116,0.87,6.18,986.76
