Prefecture,City,Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),CO (mg/m3),SO2 (ug/m3),O3 (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Xylene (ug/m3),AQI,AQI_Bucket,Wind_Speed (km/h),Humidity (%),Deforestation_Rate_%,Industry_Growth_%,CO2_Emission_MT,Population_Density_per_SqKm
Aichi,Ichinomiya,2014-01-01,16.24,41.17,30.29,43.3,51.41,14.52,0.47,5.9,66.1,3.58,13.57,1.04,58,Moderate,5.7,48.4,0.041,2.7,48.2,1463.6
Aichi,Ichinomiya,2014-02-01,25.16,33.18,33.45,51.22,26.92,3.8,1.45,5.73,52.92,3.39,10.17,1.46,78,Moderate,10.5,64.4,0.058,2.11,47.95,1459.7
Aichi,Ichinomiya,2014-03-01,20.82,26.8,11.35,37.88,41.75,13.31,1.11,5.46,70.82,1.28,7.82,0.92,68,Moderate,9.5,59.1,0.053,2.24,47.27,1457.5
Aichi,Ichinomiya,2014-04-01,11.55,54.22,21.02,30.55,26.85,4.38,0.45,7.87,31.29,0.8,10.46,1.22,48,Good,8.4,61.0,0.061,2.32,48.23,1462.1
Aichi,Ichinomiya,2014-05-01,28.58,37.61,7.88,19.01,30.06,8.22,0.5,7.53,44.25,1.77,5.34,1.12,86,Moderate,7.8,64.5,0.043,2.96,47.5,1460.4
Aichi,Ichinomiya,2014-06-01,13.69,34.9,10.8,26.93,20.52,3.67,0.27,3.59,32.24,0.57,7.28,0.64,53,Moderate,9.0,80.3,0.051,2.64,48.23,1460.6
Aichi,Ichinomiya,2014-07-01,13.87,13.61,20.28,17.94,21.53,7.5,0.61,2.01,22.49,2.23,4.75,1.03,53,Moderate,5.7,84.1,0.038,2.69,47.57,1458.0
Aichi,Ichinomiya,2014-08-01,11.34,22.48,10.71,12.54,31.23,7.82,0.57,3.49,50.55,0.91,2.75,1.08,47,Good,3.3,82.5,0.045,2.28,48.55,1458.3
Aichi,Ichinomiya,2014-09-01,17.13,36.65,17.25,24.44,15.04,5.25,0.67,5.33,53.08,1.84,8.17,1.14,60,Moderate,7.4,68.1,0.057,2.3,48.68,1459.7
Aichi,Ichinomiya,2014-10-01,30.32,46.47,24.95,29.72,19.57,10.37,0.96,6.53,41.44,0.74,9.31,1.17,90,Moderate,3.6,69.2,0.047,2.77,47.28,1459.9
Aichi,Ichinomiya,2014-11-01,15.8,39.77,22.32,29.24,31.99,9.34,0.77,12.29,60.55,3.54,6.26,1.07,57,Moderate,7.8,71.4,0.062,2.62,47.43,1457.3
Aichi,Ichinomiya,2014-12-01,38.0,72.42,27.96,46.08,57.63,10.24,0.94,13.61,82.95,1.51,2.95,1.33,106,Unhealthy for Sensitive Groups,5.7,51.5,0.04,2.5,47.93,1461.0
Aichi,Ichinomiya,2015-01-01,31.03,57.73,23.6,38.24,31.58,7.63,0.59,14.92,71.88,3.5,11.45,0.54,91,Moderate,8.2,47.0,0.035,2.02,47.92,1455.5
Aichi,Ichinomiya,2015-02-01,21.64,52.85,22.68,35.71,34.25,12.51,1.21,10.57,58.49,1.35,4.84,2.82,70,Moderate,9.7,45.0,0.039,1.8,47.71,1457.4
Aichi,Ichinomiya,2015-03-01,32.75,60.21,31.17,22.14,26.94,7.41,0.57,7.88,45.5,1.26,5.77,1.18,95,Moderate,11.6,60.5,0.061,2.56,47.91,1459.5
Aichi,Ichinomiya,2015-04-01,20.96,32.95,11.25,41.85,36.31,10.28,0.4,7.18,56.45,1.78,7.11,1.92,69,Moderate,11.1,65.2,0.044,2.33,46.95,1455.0
Aichi,Ichinomiya,2015-05-01,18.69,27.01,25.1,14.62,30.76,10.4,0.4,8.57,25.84,2.2,6.07,1.84,64,Moderate,7.5,62.4,0.066,2.76,47.58,1456.8
