State,City,Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),CO (mg/m3),SO2 (ug/m3),O3 (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Xylene (ug/m3),AQI,AQI_Bucket,Wind_Speed (km/h),Humidity (%),Deforestation_Rate_%,Industry_Growth_%,CO2_Emission_MT,Population_Density_per_SqKm
Aguascalientes,Aguascalientes,2014-01-01,23.68,72.89,18.53,34.62,59.58,9.76,2.67,23.93,,1.21,8.63,1.46,75.0,Moderate,12.4,46.4,0.195,0.69,30.74,50.0
Aguascalientes,Aguascalientes,2014-02-01,19.38,63.21,27.01,48.29,18.7,2.74,2.62,7.1,37.22,2.35,5.88,2.78,66.0,Moderate,6.8,48.7,0.176,1.48,29.99,50.0
Aguascalientes,Aguascalientes,2014-03-01,29.16,,17.1,41.08,32.58,3.99,1.0,7.26,55.97,2.73,4.27,1.59,87.0,Moderate,9.0,40.0,0.13,0.64,30.27,50.0
Aguascalientes,Aguascalientes,2014-04-01,28.25,44.39,25.32,31.85,53.15,12.95,2.4,15.87,88.76,2.46,4.37,1.79,85.0,Moderate,5.0,38.1,0.126,2.28,29.97,49.9
Aguascalientes,Aguascalientes,2014-05-01,19.85,52.02,15.99,19.94,43.13,6.44,1.9,14.19,130.02,0.87,6.18,0.52,67.0,Moderate,16.2,43.3,0.137,0.84,29.53,49.8
Aguascalientes,Aguascalientes,2014-06-01,13.26,24.09,13.19,17.81,34.0,9.35,1.31,10.35,71.44,1.08,6.27,1.94,53.0,Moderate,10.5,72.4,0.285,1.12,30.27,49.9
Aguascalientes,Aguascalientes,2014-07-01,21.87,,11.13,25.29,16.82,,1.16,5.23,93.5,1.55,1.23,2.06,72.0,Moderate,8.2,80.3,0.104,-0.05,30.72,50.1
Aguascalientes,Aguascalientes,2014-08-01,14.63,41.92,9.63,18.7,22.83,0.75,0.49,12.78,99.16,0.52,,1.76,56.0,Moderate,7.0,64.5,0.245,1.12,30.19,50.1
Aguascalientes,Aguascalientes,2014-09-01,19.07,26.2,12.61,18.51,29.05,2.5,0.67,6.0,77.89,0.39,4.48,1.72,66.0,Moderate,10.8,84.7,0.125,2.37,30.67,49.8
Aguascalientes,Aguascalientes,2014-10-01,25.34,54.0,10.46,29.78,18.63,4.55,0.9,8.62,77.2,1.77,0.86,0.9,79.0,Moderate,12.1,61.9,0.19,1.72,30.56,50.1
Aguascalientes,Aguascalientes,2014-11-01,27.53,70.82,21.01,29.21,29.11,4.21,,14.66,34.39,1.28,8.53,0.72,83.0,Moderate,8.6,61.7,0.118,2.64,29.71,50.2
Aguascalientes,Aguascalientes,2014-12-01,55.21,,,44.01,79.79,16.17,2.1,26.17,,0.99,11.16,3.0,150.0,Unhealthy for Sensitive Groups,8.4,55.9,0.214,1.57,30.24,49.8
Aguascalientes,Aguascalientes,2015-01-01,45.46,53.57,32.22,26.34,25.92,5.65,1.62,7.87,42.67,2.39,5.24,2.53,126.0,Unhealthy for Sensitive Groups,7.4,59.5,0.141,1.91,29.68,50.5
Aguascalientes,Aguascalientes,2015-02-01,35.03,79.92,23.53,37.75,39.29,6.96,1.06,7.84,27.83,2.09,7.0,1.47,99.0,Moderate,10.4,40.7,0.135,1.37,29.9,50.5
Aguascalientes,Aguascalientes,2015-03-01,21.72,70.74,11.5,27.65,38.53,9.73,1.24,13.31,74.33,2.56,9.97,3.13,71.0,Moderate,12.3,40.3,0.179,0.29,30.85,50.5
Aguascalientes,Aguascalientes,2015-04-01,43.12,55.98,22.02,29.34,50.18,7.74,1.04,12.71,125.37,2.15,1.96,0.91,120.0,Unhealthy for Sensitive Groups,11.1,47.4,0.222,2.59,29.35,50.7
Aguascalientes,Aguascalientes,2015-05-01,39.84,81.86,,28.77,65.45,12.52,1.21,8.64,,,8.84,1.85,112.0,Unhealthy for Sensitive Groups,8.5,55.6,0.222,1.58,31.59,50.5
Aguascalientes,Aguascalientes,2015-06-01,14.94,41.23,8.47,24.11,33.87,4.41,0.94,5.2,86.17,1.88,,0.53,57.0,Moderate,12.2,57.7,0.24,0.6,31.03,50.4
Aguascalientes,Aguascalientes,2015-07-01,18.96,26.53,9.78,17.24,10.5,6.49,1.28,8.64,65.39,1.15,5.56,1.4,65.0,Moderate,11.4,78.2,0.208,0.67,30.77,50.5
Aguascalientes,Aguascalientes,2015-08-01,20.12,23.33,5.66,12.21,11.43,4.26,0.42,6.13,78.15,0.77,3.11,1.66,68.0,Moderate,8.6,77.4,0.211,0.14,30.36,50.5
Aguascalientes,Aguascalientes,2015-09-01,12.79,28.04,7.57,28.86,18.13,6.27,0.68,4.6,44.58,0.62,3.01,0.17,52.0,Moderate,7.0,85.6,0.17,1.72,30.68,50.7
Aguascalientes,Aguascalientes,2015-10-01,31.78,29.48,13.67,20.4,48.91,4.7,1.47,12.2,73.2,1.05,6.14,0.53,92.0,Moderate,12.7,79.9,0.301,2.45,30.43,50.4
Aguascalientes,Aguascalientes,2015-11-01,43.29,70.43,20.98,42.15,22.14,3.41,1.33,4.14,49.59,2.66,3.13,3.55,120.0,Unhealthy for Sensitive Groups,4.6,62.5,0.261,1.67,29.96,50.5
Aguascalientes,Aguascalientes,2015-12-01,17.28,61.38,18.08,55.77,52.23,12.63,2.21,21.04,43.99,1.82,9.5,1.34,62.0,Moderate,5.2,57.6,0.242,1.0,30.66,50.6
Aguascalientes,Aguascalientes,2016-01-01,24.5,37.09,18.49,43.75,65.11,6.49,1.31,16.07,35.87,1.84,6.92,1.91,77.0,Moderate,11.7,43.6,0.194,1.14,30.36,51.1
Aguascalientes,Aguascalientes,2016-02-01,31.42,74.12,19.32,44.56,47.45,13.67,1.9,16.41,43.0,1.35,5.19,2.65,92.0,Moderate,4.3,53.3,0.156,-0.37,31.21,51.1
Aguascalientes,Aguascalientes,2016-03-01,15.88,37.45,11.8,50.19,18.42,13.35,1.9,15.36,99.16,2.77,2.27,3.58,59.0,Moderate,11.3,40.5,0.334,2.74,30.18,51.0
