Province,City,Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),CO (mg/m3),SO2 (ug/m3),O3 (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Xylene (ug/m3),AQI,AQI_Bucket,Wind_Speed (km/h),Humidity (%),Deforestation_Rate_%,Industry_Growth_%,CO2_Emission_MT,Population_Density_per_SqKm
Balochistan,Chaman,2014-01-01,56.69,108.56,53.37,63.82,47.7,34.86,4.13,26.87,64.13,6.86,7.12,6.44,152,Unhealthy,8.9,57.1,0.122,0.56,15.01,35.0
Balochistan,Chaman,2014-02-01,70.54,206.87,47.83,58.57,80.81,35.33,3.33,31.62,87.93,3.06,9.29,1.14,159,Unhealthy,7.8,61.8,0.285,2.45,14.92,35.2
Balochistan,Chaman,2014-03-01,62.47,151.17,13.8,41.33,54.08,18.77,1.6,8.78,54.68,4.38,10.94,3.06,155,Unhealthy,4.0,61.0,0.073,1.57,15.7,35.4
Balochistan,Chaman,2014-04-01,34.83,93.77,31.4,28.65,26.37,18.78,1.21,18.01,33.71,2.95,7.47,1.29,99,Moderate,8.1,49.8,0.261,1.33,15.26,35.1
Balochistan,Chaman,2014-05-01,66.37,87.89,29.73,33.73,39.51,15.77,1.9,17.16,34.35,1.12,3.85,2.25,157,Unhealthy,9.2,42.9,0.131,2.81,15.06,34.7
Balochistan,Chaman,2014-06-01,64.46,83.65,15.67,38.72,23.87,21.11,2.0,14.68,35.86,3.81,1.84,3.09,156,Unhealthy,11.1,57.4,0.16,2.3,14.79,34.9
Balochistan,Chaman,2014-07-01,53.52,109.79,24.44,29.46,20.69,7.83,1.46,14.76,26.78,1.18,9.54,2.8,145,Unhealthy for Sensitive Groups,13.7,61.7,0.182,2.62,14.63,35.1
Balochistan,Chaman,2014-08-01,49.02,67.62,15.24,28.52,46.97,7.88,1.44,8.88,31.0,1.17,5.59,1.15,134,Unhealthy for Sensitive Groups,4.6,74.9,0.302,1.99,14.8,35.4
Balochistan,Chaman,2014-09-01,71.85,114.65,27.13,21.89,23.88,16.26,1.17,17.33,52.93,3.24,5.47,1.93,159,Unhealthy,12.7,54.2,0.184,1.35,15.04,35.1
Balochistan,Chaman,2014-10-01,42.32,120.4,38.43,55.46,39.53,10.68,3.08,32.18,49.58,6.01,7.96,1.53,118,Unhealthy for Sensitive Groups,8.2,52.4,0.295,2.71,15.29,34.9
Balochistan,Chaman,2014-11-01,105.03,273.87,21.08,56.91,64.52,24.84,1.81,32.31,57.22,2.16,19.38,1.67,177,Unhealthy,5.0,59.8,0.123,2.29,15.18,35.1
Balochistan,Chaman,2014-12-01,55.28,147.47,44.53,92.83,35.49,22.93,2.52,25.23,126.46,3.66,9.08,7.12,150,Unhealthy for Sensitive Groups,3.9,77.4,0.285,1.94,15.16,34.9
Balochistan,Chaman,2015-01-01,128.86,148.2,51.82,85.0,105.02,23.02,1.72,42.51,70.82,7.54,11.52,2.51,189,Unhealthy,1.8,68.9,0.184,1.71,15.09,35.7
Balochistan,Chaman,2015-02-01,66.9,198.4,46.68,65.53,47.22,30.14,3.5,22.75,57.05,5.17,16.42,3.41,157,Unhealthy,5.9,48.5,0.255,0.43,15.25,35.6
Balochistan,Chaman,2015-03-01,39.36,185.32,17.51,44.17,65.83,11.25,2.67,22.14,58.66,6.03,3.55,4.54,111,Unhealthy for Sensitive Groups,5.0,52.5,0.206,2.42,15.56,35.6
Balochistan,Chaman,2015-04-01,38.39,135.81,30.82,35.35,30.92,19.66,1.69,17.21,55.04,2.58,8.3,1.79,108,Unhealthy for Sensitive Groups,10.7,32.4,0.213,1.84,15.55,35.7
Balochistan,Chaman,2015-05-01,54.27,64.44,19.87,31.23,48.95,12.31,1.45,14.13,57.51,3.87,8.36,0.75,147,Unhealthy for Sensitive Groups,16.4,39.8,0.146,0.85,15.26,35.8
Balochistan,Chaman,2015-06-01,40.5,110.6,7.12,44.88,61.31,13.9,1.35,10.77,40.41,2.06,10.45,2.42,113,Unhealthy for Sensitive Groups,8.3,37.9,0.208,2.03,15.85,35.6
Balochistan,Chaman,2015-07-01,57.72,89.5,25.72,38.09,22.31,16.14,1.06,16.45,29.44,1.74,8.7,1.34,152,Unhealthy,9.8,64.1,0.195,2.22,15.6,35.6
Balochistan,Chaman,2015-08-01,29.82,107.16,9.08,36.52,45.15,11.95,1.08,7.14,38.07,0.9,5.72,3.2,88,Moderate,9.5,76.6,0.19,3.3,15.52,35.8
