Federal_District,City,Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),CO (mg/m3),SO2 (ug/m3),O3 (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Xylene (ug/m3),AQI,AQI_Bucket,Wind_Speed (km/h),Humidity (%),Deforestation_Rate_%,Industry_Growth_%,CO2_Emission_MT,Population_Density_per_SqKm
Central,Belgorod,2014-01-01,31.28,46.46,38.94,46.17,72.46,3.6,0.79,23.54,95.96,1.46,9.4,2.95,91.0,Moderate,10.1,90.0,0.121,1.09,148.98,60.0
Central,Belgorod,2014-02-01,12.68,37.08,13.12,25.96,38.63,15.65,,14.73,67.94,2.87,,2.79,52.0,Moderate,11.9,74.7,0.151,2.31,150.53,60.1
Central,Belgorod,2014-03-01,14.11,54.18,17.61,25.78,22.37,,0.96,13.36,47.73,0.91,5.36,0.99,55.0,Moderate,8.8,68.8,0.124,3.72,149.67,60.2
Central,Belgorod,2014-04-01,21.26,28.52,14.61,26.69,33.78,0.5,0.39,9.4,49.57,1.51,4.13,0.99,70.0,Moderate,16.5,55.6,0.313,2.84,150.14,60.1
Central,Belgorod,2014-05-01,16.32,46.71,16.56,20.89,19.58,4.91,0.7,12.97,55.52,0.54,3.84,0.47,60.0,Moderate,13.1,56.0,0.042,2.35,148.95,60.1
Central,Belgorod,2014-06-01,16.45,31.63,17.87,17.74,22.48,5.53,0.36,3.68,17.11,1.32,5.49,0.52,60.0,Moderate,7.7,59.8,0.042,3.0,148.8,60.1
Central,Belgorod,2014-07-01,13.96,19.95,15.27,24.01,28.11,4.68,0.86,11.34,56.62,1.17,6.55,0.71,55.0,Moderate,11.4,82.2,0.087,0.47,152.34,60.1
Central,Belgorod,2014-08-01,17.07,18.84,12.65,13.04,28.95,3.49,0.86,12.27,26.29,0.68,4.39,0.01,61.0,Moderate,6.0,69.7,0.295,4.36,150.18,60.2
Central,Belgorod,2014-09-01,19.27,14.49,19.53,32.75,43.01,3.61,0.81,10.02,60.28,2.05,4.28,1.27,66.0,Moderate,10.9,68.3,0.179,4.65,148.12,60.1
Central,Belgorod,2014-10-01,21.12,26.43,16.77,26.22,36.6,2.82,0.89,8.86,69.31,2.26,6.78,1.29,70.0,Moderate,7.4,80.8,0.124,1.73,153.66,60.0
Central,Belgorod,2014-11-01,11.97,59.2,29.58,37.3,31.55,12.73,0.8,13.06,44.1,1.92,8.7,0.34,50.0,Good,12.3,85.9,0.27,0.05,149.88,60.1
Central,Belgorod,2014-12-01,37.08,53.91,27.12,48.32,56.57,11.06,1.18,17.18,67.58,2.57,5.62,2.46,105.0,Unhealthy for Sensitive Groups,4.9,94.2,0.154,2.14,149.92,59.9
Central,Belgorod,2015-01-01,29.29,51.86,15.07,45.31,70.97,12.31,2.41,12.02,92.96,1.88,4.6,2.74,87.0,Moderate,4.5,80.7,0.022,0.21,153.72,59.9
Central,Belgorod,2015-02-01,40.19,50.0,25.89,26.9,64.91,10.06,1.63,13.03,60.4,3.48,5.78,2.16,113.0,Unhealthy for Sensitive Groups,7.2,86.2,0.02,-0.71,153.97,59.9
Central,Belgorod,2015-03-01,17.11,21.41,23.43,35.33,28.22,6.17,0.68,13.34,42.42,1.67,2.8,0.63,62.0,Moderate,8.5,71.0,0.23,1.6,154.36,59.8
Central,Belgorod,2015-04-01,11.62,21.88,20.7,,35.92,3.74,0.94,4.53,67.51,0.68,,1.42,48.0,Good,12.7,59.3,0.0,0.39,148.43,59.8
Central,Belgorod,2015-05-01,12.43,10.26,15.37,14.85,31.83,7.3,,7.82,35.09,1.33,1.09,0.1,52.0,Moderate,12.0,61.1,0.14,0.68,153.45,59.9
Central,Belgorod,2015-06-01,18.76,40.1,12.31,29.83,14.49,2.57,1.06,2.98,34.99,1.06,2.38,0.94,65.0,Moderate,3.4,62.3,0.191,0.01,152.15,60.0
Central,Belgorod,2015-07-01,22.85,39.19,12.71,17.88,37.03,7.03,0.79,17.64,60.26,2.01,2.22,1.29,74.0,Moderate,12.0,73.0,0.172,1.03,143.36,59.9
Central,Belgorod,2015-08-01,19.81,12.76,9.64,28.57,26.71,4.84,0.38,,31.9,0.39,5.69,1.04,67.0,Moderate,4.2,79.8,0.176,-1.82,152.62,60.0
Central,Belgorod,2015-09-01,20.58,20.91,17.6,34.32,21.98,8.33,1.08,9.94,63.91,0.83,1.65,0.97,69.0,Moderate,7.4,76.1,0.271,5.35,152.64,60.1
Central,Belgorod,2015-10-01,14.22,46.92,18.0,,54.65,2.9,0.48,9.88,50.71,2.67,5.24,1.37,55.0,Moderate,10.3,86.0,0.0,0.57,151.38,60.0
Central,Belgorod,2015-11-01,27.25,62.32,31.53,31.73,19.69,10.08,0.67,11.68,98.27,1.28,7.86,2.75,83.0,Moderate,12.1,81.9,0.041,1.21,146.43,59.9
Central,Belgorod,2015-12-01,25.77,53.51,,54.74,62.39,3.51,1.65,17.59,119.75,2.56,5.56,0.48,80.0,Moderate,8.2,97.9,0.073,3.5,150.16,60.1
Central,Belgorod,2016-01-01,41.38,73.41,,44.51,42.18,9.12,,14.88,118.07,1.56,11.06,0.48,115.0,Unhealthy for Sensitive Groups,7.2,87.4,0.018,0.95,152.29,60.1
Central,Belgorod,2016-02-01,24.86,50.31,21.18,49.51,27.89,11.18,0.88,8.57,110.21,,1.58,1.55,78.0,Moderate,10.8,81.5,0.196,-0.55,153.69,59.8
Central,Belgorod,2016-03-01,26.79,41.92,19.43,27.13,26.87,7.95,0.54,14.52,37.32,0.58,2.75,2.08,82.0,Moderate,6.1,78.9,0.207,2.15,152.77,59.9
Central,Belgorod,2016-04-01,10.48,48.86,8.48,18.35,44.61,7.04,0.89,14.14,33.01,1.13,4.17,1.5,44.0,Good,7.8,53.6,0.0,3.69,146.32,59.7
Central,Belgorod,2016-05-01,20.75,33.63,8.36,15.78,15.32,5.12,1.08,10.13,32.88,0.85,4.1,0.18,69.0,Moderate,5.8,50.7,0.087,1.75,152.43,59.9
Central,Belgorod,2016-06-01,17.35,12.09,17.8,23.73,21.14,,,2.56,47.49,1.13,4.46,0.24,62.0,Moderate,5.7,65.2,0.124,0.68,151.04,59.7
Central,Belgorod,2016-07-01,17.31,32.95,9.26,17.45,11.73,6.4,0.85,9.36,30.68,1.82,,1.35,62.0,Moderate,6.8,62.3,0.094,3.1,151.22,59.9
Central,Belgorod,2016-08-01,13.46,31.97,19.28,31.6,32.81,5.75,1.27,7.65,63.4,1.49,3.32,0.83,54.0,Moderate,6.6,71.4,0.0,1.06,151.18,59.9
Central,Belgorod,2016-09-01,16.09,36.94,16.57,33.71,46.85,5.27,0.8,,69.06,2.3,6.15,0.97,59.0,Moderate,8.3,70.3,0.013,1.47,154.76,59.7
Central,Belgorod,2016-10-01,17.18,35.13,10.46,17.81,,3.6,,11.91,42.13,2.59,3.86,1.15,62.0,Moderate,4.8,89.2,0.122,3.18,147.67,59.9
Central,Belgorod,2016-11-01,13.55,38.55,16.27,31.78,48.08,10.0,1.95,9.38,98.66,1.42,9.85,2.15,54.0,Moderate,7.5,83.7,0.066,2.26,151.78,60.0
Central,Belgorod,2016-12-01,40.11,,26.7,45.25,42.4,12.39,1.55,17.28,76.74,0.76,5.71,1.78,112.0,Unhealthy for Sensitive Groups,7.0,85.4,0.0,2.26,156.1,60.0
Central,Belgorod,2017-01-01,48.2,81.12,15.9,,32.47,5.6,1.58,10.85,97.78,1.94,3.4,2.11,132.0,Unhealthy for Sensitive Groups,8.5,77.8,0.143,4.0,153.88,59.8
Central,Belgorod,2017-02-01,45.1,58.44,,41.14,41.68,4.05,0.84,15.35,107.3,1.31,5.39,1.06,125.0,Unhealthy for Sensitive Groups,5.7,84.4,0.183,3.8,147.01,59.8
Central,Belgorod,2017-03-01,25.86,29.81,14.65,27.54,47.94,3.17,1.47,19.31,86.33,2.18,5.37,0.28,80.0,Moderate,13.6,66.6,0.116,1.3,153.96,59.6
Central,Belgorod,2017-04-01,14.13,50.59,13.25,29.96,21.35,3.97,1.14,8.79,61.99,1.88,1.84,1.38,55.0,Moderate,10.8,62.5,0.015,0.56,150.66,59.9
Central,Belgorod,2017-05-01,16.35,29.13,15.7,21.31,13.36,5.62,0.89,11.21,50.84,0.69,2.95,,60.0,Moderate,10.2,55.3,0.206,2.04,158.61,59.9
Central,Belgorod,2017-06-01,12.01,43.65,10.71,17.53,9.23,4.52,,12.19,57.61,1.72,4.78,0.32,51.0,Moderate,14.0,61.4,0.033,3.06,153.9,59.7
Central,Belgorod,2017-07-01,12.3,36.99,9.34,24.53,,0.75,0.79,9.34,51.45,1.43,1.51,1.09,51.0,Moderate,11.6,69.6,0.037,2.46,152.57,60.1
Central,Belgorod,2017-08-01,20.99,33.79,21.47,21.86,32.62,4.06,0.4,6.95,52.33,1.84,6.17,1.33,70.0,Moderate,5.1,83.6,0.309,2.42,148.53,59.8
Central,Belgorod,2017-09-01,27.34,50.65,17.41,25.41,41.36,4.52,1.06,9.01,68.45,1.2,6.44,0.75,83.0,Moderate,6.9,80.0,0.13,0.7,152.31,59.7
Central,Belgorod,2017-10-01,16.68,36.03,13.89,26.98,18.97,0.5,0.57,5.36,40.75,2.09,7.59,,61.0,Moderate,11.7,87.0,0.0,1.83,145.97,59.9
Central,Belgorod,2017-11-01,26.82,58.21,18.18,51.39,57.4,11.09,0.47,10.77,80.31,2.24,7.02,1.93,82.0,Moderate,11.8,89.9,0.17,3.49,153.08,59.9
Central,Belgorod,2017-12-01,18.46,40.01,25.7,58.32,67.9,9.31,1.06,9.16,104.81,1.34,8.53,1.29,64.0,Moderate,12.0,81.9,0.371,1.57,154.57,60.0
